scorer,DeepCut_resnet50_both_paw_DLC1_contrast_newFeb15_19shuffle1_44000,DeepCut_resnet50_both_paw_DLC1_contrast_newFeb15_19shuffle1_44000,DeepCut_resnet50_both_paw_DLC1_contrast_newFeb15_19shuffle1_44000,DeepCut_resnet50_both_paw_DLC1_contrast_newFeb15_19shuffle1_44000,DeepCut_resnet50_both_paw_DLC1_contrast_newFeb15_19shuffle1_44000,DeepCut_resnet50_both_paw_DLC1_contrast_newFeb15_19shuffle1_44000,DeepCut_resnet50_both_paw_DLC1_contrast_newFeb15_19shuffle1_44000,DeepCut_resnet50_both_paw_DLC1_contrast_newFeb15_19shuffle1_44000,DeepCut_resnet50_both_paw_DLC1_contrast_newFeb15_19shuffle1_44000,DeepCut_resnet50_both_paw_DLC1_contrast_newFeb15_19shuffle1_44000,DeepCut_resnet50_both_paw_DLC1_contrast_newFeb15_19shuffle1_44000,DeepCut_resnet50_both_paw_DLC1_contrast_newFeb15_19shuffle1_44000,DeepCut_resnet50_both_paw_DLC1_contrast_newFeb15_19shuffle1_44000,DeepCut_resnet50_both_paw_DLC1_contrast_newFeb15_19shuffle1_44000,DeepCut_resnet50_both_paw_DLC1_contrast_newFeb15_19shuffle1_44000,DeepCut_resnet50_both_paw_DLC1_contrast_newFeb15_19shuffle1_44000,DeepCut_resnet50_both_paw_DLC1_contrast_newFeb15_19shuffle1_44000,DeepCut_resnet50_both_paw_DLC1_contrast_newFeb15_19shuffle1_44000,DeepCut_resnet50_both_paw_DLC1_contrast_newFeb15_19shuffle1_44000,DeepCut_resnet50_both_paw_DLC1_contrast_newFeb15_19shuffle1_44000,DeepCut_resnet50_both_paw_DLC1_contrast_newFeb15_19shuffle1_44000,DeepCut_resnet50_both_paw_DLC1_contrast_newFeb15_19shuffle1_44000,DeepCut_resnet50_both_paw_DLC1_contrast_newFeb15_19shuffle1_44000,DeepCut_resnet50_both_paw_DLC1_contrast_newFeb15_19shuffle1_44000
bodyparts,leftpaw1,leftpaw1,leftpaw1,leftpaw2,leftpaw2,leftpaw2,leftpaw3,leftpaw3,leftpaw3,leftpaw4,leftpaw4,leftpaw4,rightpaw1,rightpaw1,rightpaw1,rightpaw2,rightpaw2,rightpaw2,rightpaw3,rightpaw3,rightpaw3,rightpaw4,rightpaw4,rightpaw4
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,512.7424793243408,0.20212960243225098,0.0010640661930665374,506.76092004776,-5.940601348876953,0.0002296754828421399,-3.2264838218688965,-4.61631965637207,0.0010830407263711095,5.722506999969482,4.026953304186463,0.0035339880269020796,513.3509073257446,-4.472145080566406,0.00018520171579439193,441.91241788864136,-1.9404635429382324,0.0010712811490520835,443.58379274606705,-3.246670722961426,0.0003187632537446916,-2.804011344909668,5.413785219192505,0.001315568806603551
1,256.5453531742096,391.84746861457825,0.9778732061386108,274.169460773468,411.831226631999,0.999988317489624,289.95942902565,415.29170846939087,0.9999983310699463,307.68512630462646,393.02887630462646,0.9999998807907104,345.8228828907013,393.84787797927856,0.9999966621398926,358.76498222351074,408.85818338394165,0.9999915361404419,375.651597738266,407.48638224601746,0.9999665021896362,391.0803174972534,389.6727111339569,0.9999041557312012
2,257.57693672180176,394.05025494098663,0.9892567992210388,273.40819334983826,412.63995027542114,0.9999794960021973,289.57676815986633,415.675217628479,0.9999991655349731,306.98887407779694,392.8992123603821,0.9999998807907104,346.6449646949768,393.70953822135925,0.9999978542327881,358.4733040332794,409.17244124412537,0.9999899864196777,374.5659511089325,407.69240856170654,0.9999732971191406,390.29554629325867,389.89917492866516,0.9998849630355835
3,348.39405861496925,385.0160160064697,0.7266453504562378,276.8689514398575,402.66314792633057,0.9999902248382568,292.27467504143715,404.11730428785086,0.9999998807907104,309.96885216236115,385.75419640541077,0.9999988079071045,344.50533628463745,396.47416508197784,1.0,356.39328783750534,412.5498136281967,0.9999972581863403,375.2387568950653,411.38704854249954,0.9999945163726807,393.01690340042114,388.65664595365524,0.9999794960021973
4,259.543320953846,387.092694401741,0.8849261403083801,276.3846460580826,405.2169749736786,0.9999977350234985,292.4711167216301,406.7095322608948,0.9999997615814209,310.6102159023285,387.0377185344696,0.9999991655349731,345.21056509017944,396.5027780532837,0.9999998807907104,358.253591299057,413.2295812368393,0.9999963045120239,375.98851776123047,411.5007763504982,0.999993085861206,392.91662788391113,389.46748530864716,0.9999618530273438
5,262.27591919898987,384.91909313201904,0.5539968013763428,277.39216709136963,403.18229258060455,0.9999840259552002,292.31160575151443,404.15646420419216,0.9999992847442627,309.0519300699234,386.42495584487915,0.9999983310699463,345.8518867492676,395.84578005969524,0.9999998807907104,358.74040603637695,412.1457724273205,0.999993085861206,376.0275921821594,410.4406386613846,0.9999845027923584,393.1180272102356,389.3338557481766,0.9999608993530273
6,262.15883779525757,388.43291515111923,0.8410159945487976,277.9474608898163,405.1616485118866,0.9999935626983643,294.9251163005829,405.7884660959244,0.9999994039535522,310.78059816360474,387.0923165678978,0.9999990463256836,345.7688179016113,396.2444513887167,0.9999998807907104,359.21472907066345,411.4443139433861,0.9999948740005493,376.4941029548645,409.58685517311096,0.9999828338623047,392.13007259368896,389.27202212810516,0.9999730587005615
7,261.7910393476486,389.19951915740967,0.9787573218345642,279.424560546875,406.24491786956787,0.999990701675415,298.1503039598465,405.8521078824997,0.9999983310699463,316.08382703363895,386.433425784111,0.9999996423721313,344.7977705001831,395.83608205616474,0.9999998807907104,358.6883752346039,410.2377972602844,0.9999972581863403,375.08860659599304,408.5253794193268,0.9999895095825195,390.82413959503174,389.38530945777893,0.9999549388885498
8,259.9745252709836,378.57896280288696,0.9446164965629578,279.7465887069702,400.6321451663971,0.9998531341552734,299.50734770298004,400.7393250465393,0.9999986886978149,316.38736912608147,379.86952048540115,0.9999927282333374,345.11386013031006,395.6636965572834,0.9999998807907104,357.5800415277481,410.44668221473694,0.9999960660934448,374.24137234687805,408.48676443099976,0.9999898672103882,390.2020947933197,389.3625326156616,0.9999606609344482
